source,target
1.1616E+18,478458740
1.1616E+18,1.17938E+18
1.1616E+18,8.29261E+17
1.1616E+18,310323758
1.1616E+18,310323758
1.1616E+18,1.09782E+18
1.1616E+18,566337543
1.1616E+18,2524446480
1.1616E+18,1.09782E+18
1.1616E+18,8.04786E+17
1.1616E+18,164695435
1.1616E+18,1.26344E+18
1.1616E+18,27351135
1.1616E+18,1.17938E+18
1.1616E+18,39530187
1.1616E+18,1.17938E+18
1.1616E+18,2424704055
1.1616E+18,8.29261E+17
1.1616E+18,1.17938E+18
1.1616E+18,2524446480
1.1616E+18,310323758
1.1616E+18,379589693
1.1616E+18,739130534
1.1616E+18,8.93071E+17
1.1616E+18,8.04786E+17
1.1616E+18,8.04786E+17
1.1616E+18,78637018
1.1616E+18,8.29261E+17
1.1616E+18,1.17938E+18
1.1616E+18,379589693
1.1616E+18,8.29261E+17
1.1616E+18,310323758
1259839165,82239511
1259839165,1.18675E+18
1259839165,145685383
1259839165,18486423
1259839165,145685383
1259839165,1.18675E+18
1259839165,145685383
1259839165,145685383
1259839165,105822438
1259839165,145685383
1259839165,1.32874E+18
1259839165,145685383
1259839165,1.18675E+18
1259839165,9.6852E+17
1259839165,145685383
1259839165,1485433387
1259839165,335055465
1259839165,335055465
1259839165,1.32874E+18
1259839165,335055465
1259839165,249790792
1259839165,54996514
1259839165,335055465
1259839165,145685383
1259839165,1485433387
1259839165,266916216
1259839165,266916216
1259839165,1.15442E+18
1259839165,1.31355E+18
1259839165,3195356134
1259839165,3195356134
1259839165,145685383
1259839165,1485433387
1259839165,3371629077
1472400620,1524993547
1472400620,158990009
1472400620,158990009
1472400620,158990009
1472400620,158990009
1472400620,7.22137E+17
1472400620,192942213
1472400620,1.35997E+18
1472400620,197041714
1472400620,61875836
1472400620,61875836
1472400620,1524993547
1472400620,2385871471
1472400620,1368256350
1472400620,8.72604E+17
1472400620,75315830
1472400620,1.18345E+18
1472400620,197041714
1472400620,300390462
1472400620,494425148
1472400620,7.22137E+17
1472400620,7.22137E+17
1472400620,1.00705E+18
1472400620,1.11065E+18
1472400620,2612317868
1472400620,197041714
1472400620,1.18345E+18
1472400620,1.12886E+18
1472400620,7.79358E+17
1472400620,9.37391E+17
1472400620,1.12886E+18
1472400620,1.00705E+18
1472400620,1.00705E+18
1472400620,9.37391E+17
1472400620,1.00705E+18
1472400620,1.00705E+18
1472400620,197041714
1472400620,9.04723E+17
1472400620,1.10586E+18
1472400620,7.22137E+17
1472400620,2486543354
1472400620,1.11065E+18
1472400620,1.18345E+18
1472400620,2330756784
1472400620,352449761
1472400620,2486543354
1472400620,1.18345E+18
1472400620,197041714
1472400620,197041714
1472400620,3303278597
1472400620,1.00705E+18
1472400620,3303278597
1472400620,9.12832E+17
1472400620,1.00705E+18
1472400620,7.22137E+17
1472400620,1.00705E+18
1472400620,29221344
1472400620,250669009
1472400620,250669009
1472400620,345357899
1472400620,8.77922E+17
1472400620,8.1347E+17
1472400620,1.00705E+18
1472400620,2178221343
1472400620,1.00705E+18
1472400620,1.11148E+18
1472400620,1.11148E+18
110441210,24633727
110441210,310037891
110441210,3230913152
110441210,3230913152
110441210,1.13392E+18
110441210,1.28054E+18
110441210,326470687
110441210,19308036
110441210,4827484242
110441210,349230164
110441210,8.23673E+17
110441210,1.15301E+18
110441210,326470687
110441210,7.73995E+17
110441210,1.0048E+18
110441210,32990574
110441210,26552805
110441210,9.72703E+17
110441210,4842896938
110441210,1.05564E+18
110441210,1.09757E+18
110441210,1.00937E+18
110441210,1.11549E+18
110441210,4842896938
